REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Polska,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Dolnośląskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Kujawsko-Pomorskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubelskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubuskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Łódzkie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Małopolskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Mazowieckie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Opolskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podkarpackie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podlaskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Pomorskie,65.2,63.2,63.9,65.9,66.5,67.7,67.6,67.0,69.1,70.4,69.8,70.1,72.5,77.4,75.9,74.9
Śląskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Świętokrzyskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Warmińsko-Mazurskie,0.1,0.2,0.3,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,x,0.1,0.1,x
Wielkopolskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Zachodniopomorskie,34.7,36.6,35.8,33.6,33.0,32.0,32.2,32.9,30.8,29.5,30.1,29.8,27.5,22.5,24.0,25.1
