year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_
2010,493249,x,x,x,x,x,x,x,x,x,x,459871,x,x,2462,x,30916,485152,x,x,x,x,x,x,x,x,x,x,451683,x,x,2471,x,30998
2011,474154,x,x,x,x,x,x,x,x,x,x,409138,x,x,33586,x,31430,474731,x,x,x,x,x,x,x,x,x,x,408753,x,x,33071,x,32907
2012,372834,x,x,x,x,x,x,x,x,x,x,320857,x,x,31770,x,20207,372768,x,x,x,x,x,x,x,x,x,x,320668,x,x,31891,x,20209
2013,302421,x,x,x,x,x,x,x,x,x,x,246262,x,x,33090,x,23069,301883,x,x,x,x,x,x,x,x,x,x,245653,x,x,33159,x,23071
2014,232736,x,x,x,x,x,x,x,x,x,x,203541,x,x,28044,x,1151,233889,x,x,x,x,x,x,x,x,x,x,204241,x,x,28495,x,1153
2015,284915,x,x,x,x,x,x,x,x,x,x,255975,x,x,28269,x,671,285054,x,x,x,x,x,x,x,x,x,x,256432,x,x,27957,x,665
2016,334020,x,x,x,x,x,x,x,x,x,x,309186,x,x,24560,x,274,334120,x,x,x,x,x,x,x,x,x,x,309391,x,x,24439,x,290
2017,279852,x,x,x,x,x,x,x,x,x,x,257498,x,x,21924,x,430,279520,x,x,x,x,x,x,x,x,x,x,256374,x,x,22710,x,436
2018,330941,x,x,x,x,x,x,x,x,x,x,291245,x,x,30704,x,8992,330602,x,x,x,x,x,x,x,x,x,x,290114,x,x,31509,x,8979
2019,351775,x,x,x,x,x,x,x,x,x,x,283624,x,x,33241,x,34910,351685,x,x,x,x,x,x,x,x,x,x,285119,x,x,31597,x,34969
2020,176029,x,x,x,x,x,x,x,x,x,x,159427,x,x,14461,x,2141,175421,x,x,x,x,x,x,x,x,x,x,159127,x,x,14439,x,1855
2021,275628,x,x,x,x,x,x,x,x,x,x,245146,x,x,24352,x,6130,276413,x,x,x,x,x,x,x,x,x,x,246593,x,x,23676,x,6144
2022,257955,x,x,x,x,x,x,x,x,x,x,184547,x,x,20703,x,52705,262425,x,x,x,x,x,x,x,x,x,x,180857,x,x,27069,x,54499
2023,261424,x,x,x,x,x,x,x,x,x,x,191494,x,x,22534,x,47396,256157,x,x,x,x,x,x,x,x,x,x,191148,x,x,22153,x,42856
2024,353616,x,x,x,x,x,x,x,x,x,x,275118,x,x,30976,x,47522,346671,x,x,x,x,x,x,x,x,x,x,271805,x,x,30984,x,43882
2025,303091,x,x,x,x,x,x,x,x,x,x,221677,x,x,23114,x,58300,299556,x,x,x,x,x,x,x,x,x,x,221534,x,x,23142,x,54880
