REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,0.021,0.023,0.023,0.021,0.021,0.022,0.022,0.027,0.023,0.023,0.025,0.026,0.025,0.025,0.027
Dolnośląskie,0.122,0.118,0.109,0.088,0.095,0.098,0.085,0.152,0.095,0.090,0.101,0.109,0.107,0.097,0.096
Kujawsko-Pomorskie,0.003,0.003,0.003,0.002,0.003,0.006,0.007,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004
Lubelskie,0.008,0.008,0.008,0.008,0.008,0.003,0.003,0.003,0.004,0.003,0.001,0.002,0.002,0.002,0.002
Lubuskie,0.051,0.051,0.054,0.053,0.056,0.064,0.067,0.068,0.068,0.070,0.071,0.071,0.046,0.064,0.064
Łódzkie,0.010,0.012,0.011,0.009,0.009,0.010,0.011,0.015,0.011,0.008,0.008,0.008,0.008,0.008,0.008
Małopolskie,0.000,0.000,0.005,0.004,0.005,0.008,0.011,0.018,0.017,0.016,0.020,0.018,0.019,0.026,0.025
Mazowieckie,0.007,0.008,0.016,0.019,0.008,0.009,0.010,0.012,0.007,0.006,0.006,0.009,0.008,0.009,0.010
Opolskie,0.040,0.040,0.031,0.031,0.027,0.030,0.027,0.029,0.032,0.031,0.039,0.039,0.037,0.054,0.038
Podkarpackie,0.004,0.005,0.007,0.007,0.006,0.011,0.013,0.012,0.013,0.011,0.010,0.009,0.010,0.010,0.038
Podlaskie,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005
Pomorskie,0.030,0.030,0.033,0.030,0.033,0.031,0.029,0.025,0.026,0.028,0.031,0.029,0.027,0.032,0.036
Śląskie,0.057,0.098,0.093,0.093,0.095,0.087,0.086,0.088,0.088,0.115,0.116,0.110,0.117,0.131,0.124
Świętokrzyskie,0.005,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.010,0.010,0.010,0.010,0.011
Warmińsko-Mazurskie,0.007,0.006,0.006,0.013,0.006,0.006,0.006,0.009,0.010,0.011,0.016,0.009,0.009,0.008,0.008
Wielkopolskie,0.006,0.007,0.007,0.008,0.007,0.007,0.010,0.009,0.009,0.004,0.005,0.018,0.019,0.006,0.005
Zachodniopomorskie,0.026,0.026,0.027,0.006,0.024,0.026,0.026,0.026,0.031,0.030,0.032,0.036,0.031,0.031,0.032
