year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__,Polska___,Dolnośląskie___,Kujawsko-Pomorskie___,Lubelskie___,Lubuskie___,Łódzkie___,Małopolskie___,Mazowieckie___,Opolskie___,Podkarpackie___,Podlaskie___,Pomorskie___,Śląskie___,Świętokrzyskie___,Warmińsko-Mazurskie___,Wielkopolskie___,Zachodniopomorskie___,Polska____,Dolnośląskie____,Kujawsko-Pomorskie____,Lubelskie____,Lubuskie____,Łódzkie____,Małopolskie____,Mazowieckie____,Opolskie____,Podkarpackie____,Podlaskie____,Pomorskie____,Śląskie____,Świętokrzyskie____,Warmińsko-Mazurskie____,Wielkopolskie____,Zachodniopomorskie____,Polska_____,Dolnośląskie_____,Kujawsko-Pomorskie_____,Lubelskie_____,Lubuskie_____,Łódzkie_____,Małopolskie_____,Mazowieckie_____,Opolskie_____,Podkarpackie_____,Podlaskie_____,Pomorskie_____,Śląskie_____,Świętokrzyskie_____,Warmińsko-Mazurskie_____,Wielkopolskie_____,Zachodniopomorskie_____
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__,Poland___,Dolnośląskie___,Kujawsko-Pomorskie___,Lubelskie___,Lubuskie___,Łódzkie___,Małopolskie___,Mazowieckie___,Opolskie___,Podkarpackie___,Podlaskie___,Pomorskie___,Śląskie___,Świętokrzyskie___,Warmińsko-Mazurskie___,Wielkopolskie___,Zachodniopomorskie___,Poland____,Dolnośląskie____,Kujawsko-Pomorskie____,Lubelskie____,Lubuskie____,Łódzkie____,Małopolskie____,Mazowieckie____,Opolskie____,Podkarpackie____,Podlaskie____,Pomorskie____,Śląskie____,Świętokrzyskie____,Warmińsko-Mazurskie____,Wielkopolskie____,Zachodniopomorskie____,Poland_____,Dolnośląskie_____,Kujawsko-Pomorskie_____,Lubelskie_____,Lubuskie_____,Łódzkie_____,Małopolskie_____,Mazowieckie_____,Opolskie_____,Podkarpackie_____,Podlaskie_____,Pomorskie_____,Śląskie_____,Świętokrzyskie_____,Warmińsko-Mazurskie_____,Wielkopolskie_____,Zachodniopomorskie_____
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
