year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,90.9,90.6,90.4,89.4,96.5,90.3,85.0,88.0,96.5,84.7,94.0,93.3,88.5,84.3,94.6,92.7,96.9
2011,91.9,89.0,94.4,89.9,89.3,93.6,83.9,90.1,91.2,80.6,95.9,95.4,91.7,82.5,96.1,96.6,92.8
2012,94.7,97.1,98.5,91.8,89.2,97.0,85.1,92.1,100.4,86.6,95.9,97.0,97.2,85.4,97.1,96.4,98.9
2013,91.4,89.4,91.2,91.6,96.0,94.6,87.2,88.4,93.3,84.2,90.5,93.6,93.1,83.9,95.9,93.1,94.0
2014,91.2,93.1,93.1,89.3,89.7,91.6,83.5,89.4,97.5,79.8,94.2,91.9,91.5,85.6,93.5,94.2,88.9
2015,94.0,90.9,96.6,92.7,97.4,96.2,86.7,91.0,96.1,87.1,95.7,93.5,97.9,86.5,95.3,98.6,88.9
2016,91.8,89.7,93.5,87.4,91.4,92.9,84.3,88.6,96.5,83.8,94.7,96.0,92.4,88.4,92.9,95.7,96.4
2017,91.8,93.6,94.8,90.4,91.9,91.3,86.8,89.4,96.5,80.9,92.4,93.9,94.4,86.7,93.6,94.3,93.3
2018,94.1,89.0,98.6,91.9,99.0,94.7,85.9,91.6,100.5,83.0,94.0,96.7,94.2,89.1,97.8,98.0,92.1
2019,90.8,89.1,90.5,89.6,88.6,89.6,84.9,92.7,88.9,80.4,91.7,89.4,93.8,87.7,89.6,94.3,85.9
2020,91.0,88.5,91.8,90.0,91.9,89.6,85.8,89.6,100.8,81.6,92.7,95.1,94.9,88.6,90.0,93.5,90.7
2021,91.6,85.7,93.2,89.3,91.6,96.5,88.5,90.1,93.2,83.0,91.2,90.9,92.8,89.3,87.3,96.9,88.6
2022,88.0,79.6,88.1,86.7,88.9,92.0,86.2,87.8,85.7,79.9,91.5,84.4,93.4,83.2,82.1,92.9,81.5
2023,92.8,89.8,94.8,86.3,90.8,96.0,93.0,92.2,93.6,85.5,91.4,90.3,96.6,92.0,89.1,97.4,89.3
