REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,9732,8813,8444,7577,8392,8652,10028,10000,9957,9234,5469,8294,6575,10348
Dolnośląskie,360,310,317,304,357,447,483,368,373,288,310,519,395,456
Kujawsko-Pomorskie,622,549,562,543,480,451,509,439,515,381,313,452,264,542
Lubelskie,508,583,579,489,607,535,794,811,609,830,344,417,410,710
Lubuskie,201,135,127,139,101,139,176,118,95,93,76,121,186,184
Łódzkie,652,531,514,520,700,688,771,694,662,657,319,515,392,726
Małopolskie,718,756,683,596,856,1000,1023,1312,1214,1161,899,1330,711,1245
Mazowieckie,1794,1896,1874,1159,1607,1394,1291,2012,1792,1552,594,1045,1050,2015
Opolskie,154,136,129,123,181,190,254,210,295,237,136,186,154,205
Podkarpackie,805,608,639,609,588,615,731,775,898,1172,708,843,550,1089
Podlaskie,464,248,403,308,306,263,376,253,262,222,127,168,180,385
Pomorskie,712,667,535,578,496,565,818,705,489,376,404,516,399,706
Śląskie,856,633,534,529,678,755,863,811,1066,1070,493,799,633,834
Świętokrzyskie,268,215,288,173,238,270,375,328,372,279,119,130,183,246
Warmińsko-Mazurskie,537,581,362,516,372,353,280,346,284,286,228,283,249,282
Wielkopolskie,700,623,684,701,652,751,933,566,533,481,296,549,587,524
Zachodniopomorskie,381,342,214,290,173,236,351,252,498,149,103,421,232,199
