REGION,2021,2022,2023,2024
Polska,0,34.8,36.5,37.7
Dolnośląskie,0,37.1,38.4,40.2
Kujawsko-Pomorskie,0,30.0,31.0,32.9
Lubelskie,0,37.6,38.0,40.2
Lubuskie,0,23.8,24.5,26.2
Łódzkie,0,41.1,41.8,44.1
Małopolskie,0,35.0,36.1,37.6
Mazowieckie,0,43.1,49.5,46.9
Opolskie,0,24.8,25.3,27.4
Podkarpackie,0,27.5,28.0,29.8
Podlaskie,0,39.1,40.1,41.9
Pomorskie,0,34.7,35.8,37.7
Śląskie,0,36.6,37.8,39.7
Świętokrzyskie,0,30.9,31.7,33.2
Warmińsko-Mazurskie,0,25.7,25.8,27.6
Wielkopolskie,0,29.2,30.1,31.5
Zachodniopomorskie,0,32.1,33.1,34.6
