year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2019,23.7,22.1,25.3,25.2,20.4,28.5,24.0,27.6,20.1,22.1,24.8,21.8,24.5,24.0,21.5,15.1,27.4
2020,24.2,23.9,25.7,26.2,20.5,27.7,24.2,27.5,20.1,22.5,25.9,22.0,24.8,24.8,22.7,16.2,28.5
2021,34.2,36.4,29.2,36.3,23.2,40.3,34.4,43.3,24.3,26.5,37.5,34.4,35.5,29.9,25.0,28.8,32.1
2022,34.7,37.0,29.9,37.5,23.8,40.9,35.0,43.1,24.7,27.5,39.1,34.7,36.5,30.8,25.6,29.2,32.0
2023,36.5,38.3,30.9,37.9,24.5,41.7,36.1,49.5,25.2,28.0,40.1,35.8,37.7,31.6,25.7,30.1,33.0
