REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,56.3,56.3,64.1,64.3,65.0,66.3
Dolnośląskie,,,,,,,,,,52.3,52.9,62.7,62.1,62.0,62.7
Kujawsko-Pomorskie,,,,,,,,,,58.5,58.5,61.4,61.4,62.2,64.8
Lubelskie,,,,,,,,,,66.4,67.9,75.9,76.3,77.0,78.5
Lubuskie,,,,,,,,,,50.4,50.6,52.1,52.1,52.5,53.2
Łódzkie,,,,,,,,,,55.7,55.9,62.2,63.0,64.3,66.7
Małopolskie,,,,,,,,,,59.8,59.5,64.2,64.1,64.7,66.1
Mazowieckie,,,,,,,,,,59.2,57.7,68.8,70.3,72.1,73.9
Opolskie,,,,,,,,,,55.6,56.6,61.5,61.9,62.1,62.5
Podkarpackie,,,,,,,,,,67.5,69.0,73.4,73.2,73.6,74.3
Podlaskie,,,,,,,,,,59.2,59.8,69.4,70.3,71.8,73.6
Pomorskie,,,,,,,,,,43.5,42.5,51.7,51.9,52.0,53.4
Śląskie,,,,,,,,,,60.7,60.8,68.3,67.7,68.3,70.2
Świętokrzyskie,,,,,,,,,,69.2,69.8,76.7,77.2,78.4,80.1
Warmińsko-Mazurskie,,,,,,,,,,53.1,55.0,58.1,58.4,59.3,60.6
Wielkopolskie,,,,,,,,,,40.3,40.1,56.0,55.8,55.9,56.1
Zachodniopomorskie,,,,,,,,,,52.2,51.4,54.5,54.4,54.6,54.4
