REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,ogółem,1.37,1.41,1.52,1.50,1.55,1.56,1.58,1.56,1.57,1.59,1.64,2.30,2.32,2.42
Dolnośląskie,ogółem,1.28,1.37,1.46,1.43,1.53,1.53,1.48,1.43,1.46,1.48,1.55,2.41,2.43,2.50
Kujawsko-Pomorskie,ogółem,1.38,1.38,1.53,1.57,1.61,1.67,1.75,1.76,1.78,1.85,1.93,2.05,2.07,2.13
Lubelskie,ogółem,1.58,1.62,1.71,1.63,1.60,1.69,1.66,1.66,1.66,1.68,1.74,2.51,2.59,2.59
Lubuskie,ogółem,1.22,1.24,1.40,1.44,1.42,1.45,1.47,1.50,1.44,1.45,1.48,1.59,1.60,1.62
Łódzkie,ogółem,1.51,1.56,1.64,1.68,1.80,1.70,1.82,1.74,1.76,1.83,1.87,2.69,2.74,2.77
Małopolskie,ogółem,1.33,1.35,1.46,1.42,1.45,1.49,1.54,1.56,1.56,1.54,1.58,2.30,2.33,2.36
Mazowieckie,ogółem,1.50,1.53,1.80,1.78,1.82,1.83,1.81,1.71,1.73,1.80,1.79,2.87,2.83,3.29
Opolskie,ogółem,1.14,1.17,1.26,1.23,1.25,1.32,1.39,1.40,1.31,1.37,1.41,1.72,1.71,1.69
Podkarpackie,ogółem,1.31,1.35,1.44,1.44,1.45,1.47,1.50,1.47,1.55,1.57,1.57,1.79,1.84,1.86
Podlaskie,ogółem,1.61,1.74,1.78,1.73,1.73,1.84,1.83,1.69,1.73,1.78,1.80,2.61,2.74,2.76
Pomorskie,ogółem,1.18,1.20,1.29,1.24,1.35,1.40,1.45,1.46,1.48,1.38,1.45,2.25,2.24,2.30
Śląskie,ogółem,1.51,1.58,1.59,1.60,1.65,1.68,1.69,1.69,1.67,1.62,1.71,2.38,2.43,2.49
Świętokrzyskie,ogółem,1.48,1.57,1.60,1.56,1.62,1.63,1.68,1.72,1.72,1.76,1.79,2.09,2.12,2.14
Warmińsko-Mazurskie,ogółem,1.29,1.33,1.46,1.53,1.53,1.48,1.56,1.52,1.44,1.58,1.73,1.79,1.81,1.82
Wielkopolskie,ogółem,1.01,0.95,1.05,1.01,1.09,1.01,1.01,1.05,1.05,1.00,1.08,1.94,1.95,2.01
Zachodniopomorskie,ogółem,1.40,1.49,1.54,1.56,1.55,1.57,1.63,1.68,1.81,1.83,1.91,2.13,2.12,2.15
