REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,451.8,440.9,460.8,460.8,441.1,469.0,437.1,434.8,437.2,421.0,457.2,475.8,426.2,400.4
Dolnośląskie,486.5,480.6,496.0,496.1,463.6,489.6,444.2,471.7,480.3,434.1,483.8,597.6,556.8,512.5
Kujawsko-Pomorskie,437.6,400.8,432.3,424.1,384.7,472.1,381.6,364.7,395.4,374.4,376.8,521.8,380.1,363.8
Lubelskie,543.4,523.5,527.3,506.9,483.3,506.7,529.5,490.5,485.3,472.5,607.3,630.6,527.6,513.7
Lubuskie,419.7,405.3,404.8,428.9,367.4,435.8,394.6,400.2,402.4,355.9,361.0,626.8,495.7,431.6
Łódzkie,557.5,539.7,551.6,540.7,522.1,519.0,490.2,496.5,488.7,451.8,488.4,463.7,412.1,385.1
Małopolskie,417.8,418.3,440.7,437.4,441.0,467.3,445.8,441.6,451.4,446.5,483.0,452.3,431.8,401.0
Mazowieckie,470.6,464.8,485.9,477.8,469.5,467.3,428.2,400.2,378.0,347.0,346.6,407.0,326.2,325.3
Opolskie,469.8,453.2,463.1,457.2,441.6,509.7,480.0,509.5,477.7,485.0,478.1,508.1,437.7,448.1
Podkarpackie,449.8,430.5,437.5,441.6,398.0,487.3,419.5,391.9,398.6,403.2,417.8,424.1,463.9,448.2
Podlaskie,446.1,421.1,434.7,435.9,445.1,451.4,444.8,470.5,472.9,442.2,510.7,515.8,529.3,456.1
Pomorskie,338.3,333.8,372.2,368.7,366.1,374.8,378.8,395.6,403.2,409.7,448.1,417.4,397.1,346.3
Śląskie,454.8,469.0,491.5,497.8,490.0,508.0,478.2,488.6,492.0,478.9,534.3,529.0,473.7,433.3
Świętokrzyskie,578.8,501.9,555.7,577.6,545.7,638.2,585.9,558.7,569.0,566.2,717.3,562.0,517.8,509.4
Warmińsko-Mazurskie,366.7,350.2,360.9,407.2,367.6,375.6,360.1,388.6,377.1,367.9,382.8,358.8,355.1,367.0
Wielkopolskie,376.3,379.0,398.6,391.6,356.0,380.2,339.9,338.9,361.3,354.7,364.8,338.7,311.2,295.9
Zachodniopomorskie,429.5,405.9,434.5,448.9,431.8,460.5,450.4,454.1,470.1,476.7,525.3,506.4,458.5,400.6
