year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,50.2,37.8,61.3,50.1,40.4,61.7,34.7,66.3,34.4,48.7,51.3,49.2,43.0,46.2,103.7,37.8,41.2
2011,51.9,38.3,59.2,53.5,39.3,57.7,37.6,69.5,39.6,44.3,58.1,55.3,42.8,51.3,65.7,57.3,46.3
2012,52.3,40.4,58.1,48.1,35.2,65.6,38.9,77.2,39.2,45.6,66.3,58.0,43.1,48.3,59.1,44.6,46.3
2013,59.6,56.7,57.8,56.1,54.1,80.7,42.0,84.6,49.1,35.8,70.3,70.9,46.2,49.8,65.2,58.7,54.1
2014,52.9,60.0,42.1,54.0,31.1,69.3,37.4,78.2,41.9,31.9,61.8,66.3,40.7,31.0,54.2,52.4,51.1
2015,63.1,68.8,49.4,59.0,37.6,92.2,42.9,87.9,78.3,38.1,68.1,76.2,50.6,41.4,61.4,62.5,64.2
2016,59.9,65.3,53.9,45.0,47.6,78.2,41.4,80.7,93.4,42.2,64.8,73.3,44.0,47.5,62.6,59.0,60.4
2017,68.5,74.6,64.7,51.8,48.3,91.3,61.2,85.8,68.9,57.2,80.7,77.8,54.6,51.5,71.7,63.7,71.0
2018,71.7,77.4,74.5,45.3,61.9,96.7,61.1,92.4,54.3,58.3,81.8,81.5,56.0,42.4,80.5,70.5,82.6
2019,70.9,82.2,73.1,43.3,57.3,97.7,66.8,84.0,64.6,59.6,86.0,76.3,57.3,44.8,84.4,66.2,73.0
2020,75.3,76.7,81.4,59.6,60.4,106.3,63.7,92.3,69.7,79.2,89.3,74.9,55.7,67.6,89.1,64.3,73.5
2021,74.1,86.6,84.1,57.2,52.3,98.8,59.0,85.8,66.9,80.9,79.8,71.8,57.0,75.7,89.1,66.3,73.4
2022,79.5,111.9,79.3,64.3,62.0,110.3,55.9,87.7,74.4,67.7,85.1,82.6,68.0,64.3,75.6,82.5,76.0
2023,80.6,100.8,79.7,62.3,61.7,117.1,55.7,93.1,73.3,71.0,71.9,85.7,71.6,62.4,99.3,80.3,74.2
