REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,572882,575619,671293,682442,704789,731453,737093,734447,759843,782117,391367,529910,741988,819238
Dolnośląskie,79564,81496,103187,98193,98314,100735,103283,98519,97169,104224,49236,66448,94588,99824
Kujawsko-Pomorskie,93332,86987,110617,122058,130966,129784,139147,144974,148501,152661,77773,104448,153170,169085
Lubelskie,18275,16794,25787,20287,25614,27830,27887,23757,28179,30916,10889,15464,21664,23240
Lubuskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Łódzkie,0,225,729,1618,1917,2185,2102,2379,1930,2336,1169,1511,1864,1667
Małopolskie,67227,66015,81347,82203,86050,86376,82590,82136,87302,89800,43997,63798,91536,93548
Mazowieckie,3754,3315,2318,1496,1021,1116,1163,944,3669,4384,1502,1861,2234,2589
Opolskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podkarpackie,57558,58285,60418,57917,55134,58418,57265,56144,61144,61394,30514,41003,58446,63589
Podlaskie,4060,2680,2747,1906,2279,3221,2736,3128,7083,9035,5265,6163,8796,10019
Pomorskie,16171,15870,23328,22815,24886,25978,26049,26197,20181,22827,13561,15970,25898,23531
Śląskie,28722,30352,32204,33856,35318,36723,39843,41343,38183,41536,16783,24418,35800,39052
Świętokrzyskie,36278,39368,52313,53473,54830,59270,61072,63190,64386,63235,29312,47049,62582,64410
Warmińsko-Mazurskie,4846,5004,5783,5855,5559,6315,6579,6944,7487,6956,3487,4316,5387,5815
Wielkopolskie,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Zachodniopomorskie,163095,169228,170515,180765,182901,193502,187377,184792,194629,192813,107879,137461,180023,222869
