year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,19109,2661,3616,1193,x,0,1141,0,x,3140,0,1973,571,4587,x,x,227
2011,20685,1000,5647,1003,x,10,1417,0,x,1979,160,3216,1393,4222,x,x,638
2012,26840,1950,8253,2786,x,0,411,0,x,2962,211,2706,590,5083,x,x,1888
2013,22763,1445,8381,288,x,0,526,610,x,2165,274,1858,1584,4027,x,x,1605
2014,23229,1561,10215,303,x,20,691,0,x,2361,416,1250,929,3849,x,x,1634
2015,26115,1951,11728,20,x,86,1865,0,x,2581,455,699,373,4461,x,x,1896
2016,26292,1503,11352,246,x,92,2235,0,x,3027,269,786,1000,4019,x,x,1763
2017,28087,1672,11843,235,x,457,1061,0,x,2338,420,917,1339,4669,x,x,3136
2018,35097,1649,15174,588,x,399,1278,566,x,3205,596,2469,1223,5148,x,x,2802
2019,33372,1697,14449,565,x,441,1866,628,x,2821,647,2038,1474,4967,x,x,1779
2020,13490,934,5879,217,x,330,641,475,x,981,424,1556,324,1017,x,x,712
2021,34431,1096,7522,96,x,0,312,514,x,1604,158,20286,799,1356,x,x,688
2022,30862,938,12213,378,x,558,4441,610,x,2047,142,3858,846,1501,x,x,3330
2023,34578,2435,12802,501,x,306,5378,432,x,2034,610,2321,916,1667,x,x,5176
