year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2019,5.37,3.09,2.71,8.73,4.69,2.53,9.69,4.12,8.00,6.59,10.77,6.90,4.90,2.69,10.62,1.83,5.45
2020,3.39,1.40,2.31,3.80,1.92,1.47,8.04,1.89,5.37,5.04,7.82,3.81,3.06,1.76,5.75,1.80,3.26
2021,3.29,1.62,2.57,5.48,2.20,1.25,6.16,1.92,5.34,4.09,6.23,4.51,2.99,2.26,5.23,1.73,3.87
2022,4.59,2.91,2.62,7.68,5.06,2.26,7.98,2.90,6.31,5.89,8.12,6.28,4.89,2.67,6.13,2.51,4.08
2023,6.71,3.64,3.94,7.79,7.75,3.82,12.29,4.91,7.61,9.24,9.60,8.24,7.82,5.15,9.52,3.64,6.50
