year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,0.55,0.75,0.48,0.23,0.36,0.48,1.14,0.35,0.42,1.78,0.19,0.46,1.34,0.24,0.30,0.48,0.41,4.58,4.47,7.80,3.63,4.83,5.63,4.89,4.26,3.17,3.35,2.35,5.55,3.75,2.77,8.73,5.95,5.03,0.25,0.29,0.13,0.09,0.14,0.14,0.68,0.10,0.18,1.67,0.08,0.13,0.27,0.09,0.09,0.19,0.10
2011,0.55,0.75,0.48,0.24,0.36,0.48,1.13,0.36,0.43,1.79,0.18,0.47,1.35,0.25,0.27,0.48,0.41,4.58,4.45,7.85,3.72,4.79,5.56,4.79,4.39,3.27,3.43,2.35,5.62,3.76,2.87,8.05,5.94,5.05,0.25,0.29,0.13,0.10,0.15,0.14,0.69,0.10,0.18,1.68,0.08,0.14,0.29,0.10,0.07,0.20,0.11
2012,0.55,0.75,0.48,0.24,0.36,0.49,1.14,0.36,0.43,1.80,0.19,0.47,1.37,0.26,0.27,0.48,0.41,4.61,4.48,7.86,3.75,4.78,5.73,4.82,4.41,3.27,3.43,2.47,5.60,3.81,2.89,8.06,5.96,5.07,0.25,0.29,0.13,0.10,0.15,0.14,0.69,0.10,0.18,1.69,0.08,0.14,0.29,0.10,0.07,0.20,0.11
2013,0.55,0.75,0.49,0.24,0.36,0.50,1.15,0.36,0.43,1.81,0.19,0.47,1.34,0.26,0.27,0.49,0.41,4.6,4.48,8.07,3.83,4.79,5.73,4.89,4.29,3.21,3.43,2.51,5.62,3.72,2.89,7.93,5.94,5.03,0.25,0.29,0.13,0.10,0.15,0.14,0.69,0.10,0.18,1.69,0.08,0.14,0.29,0.10,0.08,0.20,0.11
2014,0.56,0.76,0.49,0.25,0.37,0.50,1.14,0.36,0.43,1.80,0.20,0.47,1.35,0.25,0.27,0.51,0.41,4.64,4.51,8.07,3.84,4.89,5.74,4.90,4.32,3.22,3.30,2.59,5.74,3.74,2.72,7.91,6.34,5.01,0.25,0.29,0.13,0.10,0.15,0.14,0.68,0.10,0.18,1.69,0.08,0.14,0.29,0.10,0.08,0.20,0.11
2015,0.56,0.76,0.49,0.25,0.40,0.50,1.15,0.36,0.42,1.80,0.20,0.47,1.36,0.25,0.27,0.50,0.42,4.62,4.55,7.92,3.89,4.21,5.75,4.92,4.32,3.04,3.38,2.57,5.84,3.75,2.67,7.93,6.21,5.17,0.26,0.29,0.13,0.10,0.15,0.15,0.69,0.10,0.19,1.68,0.08,0.14,0.30,0.11,0.08,0.20,0.11
2016,0.57,0.78,0.49,0.25,0.40,0.51,1.16,0.37,0.43,1.79,0.20,0.48,1.39,0.26,0.28,0.52,0.43,4.72,4.78,8.03,3.81,4.24,5.82,5.04,4.47,3.08,3.41,2.66,5.98,3.85,2.70,8.11,6.37,5.27,0.26,0.30,0.13,0.10,0.15,0.14,0.69,0.11,0.20,1.67,0.08,0.14,0.30,0.11,0.08,0.21,0.11
2017,0.57,0.81,0.49,0.25,0.40,0.52,1.17,0.38,0.43,1.80,0.20,0.48,1.35,0.27,0.28,0.53,0.43,4.73,4.99,8.04,3.81,4.26,6.03,5.07,4.58,2.90,3.41,2.65,6.01,3.69,2.68,8.13,6.39,5.14,0.26,0.30,0.13,0.10,0.15,0.14,0.69,0.11,0.20,1.68,0.09,0.14,0.31,0.12,0.08,0.21,0.11
2018,0.58,0.81,0.49,0.26,0.41,0.52,1.16,0.39,0.43,1.81,0.20,0.49,1.36,0.28,0.28,0.52,0.44,4.74,5.04,7.98,3.81,4.30,5.97,5.11,4.66,2.82,3.44,2.62,6.03,3.72,2.60,8.29,6.33,5.28,0.26,0.30,0.13,0.11,0.15,0.15,0.68,0.11,0.20,1.69,0.09,0.14,0.31,0.13,0.08,0.20,0.11
