year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,74,94,82,83,74,81,62,79,65,59,78,60,78,79,76,51,85
2011,74,91,82,79,75,86,64,78,62,63,73,63,75,82,75,52,83
2012,74,93,83,78,75,78,64,76,66,64,72,67,74,83,78,54,82
2013,78,102,85,81,79,87,63,83,61,64,75,69,78,87,83,55,93
2014,80,104,89,84,81,87,66,86,64,66,76,70,84,94,88,53,100
2015,82,104,90,88,83,85,66,87,66,67,76,73,89,95,91,52,103
2016,82,102,89,89,78,83,69,88,68,68,74,71,88,99,92,55,103
2017,83,103,88,91,77,83,68,89,72,68,71,72,92,104,89,58,104
2018,82,99,90,90,70,83,69,85,74,67,71,71,90,105,89,57,107
2019,81,96,88,86,77,86,70,82,73,66,67,70,91,101,85,56,104
2020,72,85,78,75,73,78,59,69,68,62,60,63,83,90,80,49,96
2021,80,91,90,82,86,85,68,76,74,69,68,70,94,94,94,58,106
2022,81,91,91,82,87,85,71,79,77,68,65,74,94,92,88,61,103
2023,73,82,82,75,87,74,67,69,71,59,60,69,85,91,79,55,91
