REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,13097,13165,13190,13308,13549,12945,12449,12363,11809,11833,12029,12352,12189,12777
Dolnośląskie,,13838,13935,13995,14098,14387,13836,13347,13366,12715,12724,13032,13566,13397,13893
Kujawsko-Pomorskie,,13133,13197,13275,13446,13637,12960,12479,12462,11852,11921,12101,12267,12163,12740
Lubelskie,,11808,12047,12069,12129,12384,11824,11393,11240,10719,10784,10915,11014,10991,11420
Lubuskie,,13727,13855,13924,14072,14344,13807,13164,13165,12488,12718,12868,13208,13127,13836
Łódzkie,,13220,13327,13296,13409,13699,13078,12652,12536,11954,12040,12185,12486,12264,12919
Małopolskie,,12804,12795,12781,12851,12948,12453,12015,11863,11359,11385,11535,11748,11787,12282
Mazowieckie,,13263,13375,13553,13543,13772,13149,12693,12667,12071,11987,12221,12750,12379,13100
Opolskie,,11744,11662,11562,11844,12180,11544,11354,11395,11031,11112,11310,11638,11620,12074
Podkarpackie,,11851,11953,11850,11919,12108,11621,11232,11055,10558,10689,10821,10802,10850,11308
Podlaskie,,12563,12806,12857,12879,13169,12568,11988,11795,11413,11495,11724,12081,11969,12578
Pomorskie,,13610,13529,13480,13695,13786,13283,12690,12564,11952,11962,12195,12687,12620,13114
Śląskie,,13901,13791,13747,13936,14217,13569,12930,12845,12349,12312,12386,12724,12483,12992
Świętokrzyskie,,12061,12160,12027,12117,12316,11733,11268,11138,10837,10692,11002,10915,10875,11295
Warmińsko-Mazurskie,,13454,13575,13534,13593,13841,13163,12701,12469,11863,11779,12038,12254,12073,12767
Wielkopolskie,,13531,13597,13663,13883,14197,13415,12891,12860,12171,12245,12498,12887,12529,13435
Zachodniopomorskie,,13456,13534,13594,13716,13993,13360,12680,12642,12123,12249,12479,12890,12747,13185
