REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,17.5,19.0,20.0,21.0,22.8,26.8,28.6,28.7,28.5,27.5,25.1,24.7,24.1,23.1,22.9
Dolnośląskie,19.4,24.3,25.2,26.0,28.6,33.5,35.8,33.8,35.8,35.0,34.4,31.3,30.6,29.3,29.2
Kujawsko-Pomorskie,16.5,15.4,15.1,14.7,16.1,19.5,18.7,17.6,17.4,16.2,14.4,14.3,15.6,14.1,14.4
Lubelskie,15.4,14.9,16.3,17.3,20.2,23.1,26.1,26.4,26.7,24.3,21.7,23.0,22.8,21.6,21.9
Lubuskie,20.7,19.4,16.9,17.1,21.1,25.3,27.5,28.6,26.7,28.3,23.5,25.3,22.7,25.4,25.9
Łódzkie,15.5,17.5,18.1,19.1,19.9,22.7,25.4,26.3,25.5,25.0,24.9,26.0,22.8,22.1,21.6
Małopolskie,21.8,26.7,28.1,29.1,30.5,37.1,38.2,38.2,39.4,39.4,36.2,34.4,34.1,32.9,31.9
Mazowieckie,14.4,14.7,16.3,17.3,18.7,20.7,22.4,23.5,24.0,23.3,20.5,20.6,20.0,18.6,18.9
Opolskie,15.2,14.4,16.0,16.5,18.7,20.7,23.6,24.0,22.4,24.2,19.2,19.9,20.1,19.4,20.2
Podkarpackie,12.9,15.9,17.7,19.0,22.6,28.7,30.7,31.1,29.3,28.8,28.1,28.4,26.5,28.3,28.4
Podlaskie,17.7,15.7,17.3,18.8,18.5,23.5,25.3,28.6,26.8,26.0,24.0,24.3,22.9,20.2,21.1
Pomorskie,17.0,21.4,22.4,23.2,24.3,27.9,29.2,29.8,28.5,26.7,20.9,21.1,19.9,18.6,17.9
Śląskie,21.7,22.2,22.4,23.6,26.3,29.0,30.4,29.6,28.2,25.1,22.9,22.7,22.4,21.9,21.3
Świętokrzyskie,15.3,19.4,19.7,21.1,23.1,30.7,31.6,30.2,28.7,23.5,24.5,23.3,24.6,22.3,22.5
Warmińsko-Mazurskie,18.2,17.3,18.4,18.2,19.1,24.3,25.9,23.5,22.0,21.7,19.1,18.0,17.7,17.3,16.1
Wielkopolskie,16.0,16.8,17.5,19.0,20.3,25.3,26.7,26.6,26.4,26.2,24.8,24.3,24.5,23.6,24.1
Zachodniopomorskie,22.1,19.5,20.5,22.4,23.2,25.4,28.2,28.8,28.4,25.9,23.7,23.1,21.0,20.6,20.3
