REGION,2019,2020,2021,2022,2023,2024
Polska,100,100,100,100,100,100
Dolnośląskie,0.1,0.1,0.1,0.0,0.0,0.0
Kujawsko-Pomorskie,0.0,0.1,0.1,0.0,0.0,0.0
Lubelskie,0.0,0.0,0.0,0.0,0.0,0.0
Lubuskie,0.0,0.0,0.0,0.0,0.0,0.0
Łódzkie,0.1,0.1,0.1,0.0,0.1,0.0
Małopolskie,0.3,0.2,0.2,0.2,0.2,0.2
Mazowieckie,0.1,0.1,0.2,0.1,0.1,0.1
Opolskie,0.0,0.0,0.0,0.0,0.0,0.0
Podkarpackie,0.0,0.0,0.0,0.0,0.0,0.0
Podlaskie,0.0,0.0,0.0,0.0,0.0,0.0
Pomorskie,0.0,0.0,0.0,0.0,0.0,0.0
Śląskie,0.1,0.1,0.1,0.3,0.3,0.3
Świętokrzyskie,0.0,0.0,0.0,0.0,0.0,0.0
Warmińsko-Mazurskie,0.0,0.0,0.0,0.0,0.0,0.0
Wielkopolskie,0.0,0.0,0.0,0.0,0.0,0.0
Zachodniopomorskie,0.1,0.1,0.1,0.1,0.1,0.1
