REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,28.0,19.9,23.0,18.3,19.1,20.1
Dolnośląskie,,,,,,,,,,33.9,30.6,44.9,56.2,61.0,64.6
Kujawsko-Pomorskie,,,,,,,,,,14.0,19.6,13.0,27.6,23.3,26.4
Lubelskie,,,,,,,,,,0.4,0.4,0.7,0.7,0.7,0.6
Lubuskie,,,,,,,,,,8.0,5.6,5.6,7.7,5.9,11.7
Łódzkie,,,,,,,,,,3.2,3.3,5.6,6.7,6.9,11.1
Małopolskie,,,,,,,,,,44.3,24.4,25.9,25.1,18.1,30.8
Mazowieckie,,,,,,,,,,18.7,17.1,17.2,16.6,21.0,20.6
Opolskie,,,,,,,,,,69.9,11.3,10.8,0.0,94.9,0.0
Podkarpackie,,,,,,,,,,32.3,24.7,16.3,19.6,16.9,24.0
Podlaskie,,,,,,,,,,41.2,50.1,53.9,59.6,28.5,62.5
Pomorskie,,,,,,,,,,33.2,23.7,15.0,20.6,27.1,20.9
Śląskie,,,,,,,,,,12.2,13.6,16.8,3.4,7.1,7.7
Świętokrzyskie,,,,,,,,,,24.7,27.0,33.1,67.9,57.7,7.1
Warmińsko-Mazurskie,,,,,,,,,,33.6,19.8,38.2,28.3,35.4,29.3
Wielkopolskie,,,,,,,,,,9.0,17.2,24.9,13.6,15.3,25.6
Zachodniopomorskie,,,,,,,,,,49.5,36.8,61.7,59.9,40.1,25.8
