year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,74.0,76.6,72.9,69.8,73.7,75.0,71.7,78.5,74.9,66.4,73.7,77.1,72.9,69.2,68.9,77.0,72.6,77.7,79.2,78.0,72.5,77.6,77.9,76.3,81.0,80.0,71.6,76.9,82.9,75.4,72.6,73.8,82.1,76.9,69.7,73.8,67.0,66.5,68.8,71.8,66.6,75.6,68.9,60.2,69.8,70.7,70.1,65.1,63.1,71.1,67.7
2020,74.0,76.5,73.2,70.6,74.5,76.6,71.3,77.7,75.3,67.3,73.8,76.2,72.5,71.4,69.4,76.7,72.7,78.0,78.9,78.0,73.3,78.8,79.4,76.8,80.9,80.6,72.6,77.1,82.4,75.0,74.9,73.9,82.7,76.5,69.5,73.7,67.6,67.5,69.1,73.5,65.2,74.2,68.8,61.2,70.0,69.5,69.6,67.2,64.2,69.8,68.2
2021,76.6,78.2,75.7,74.0,75.3,77.6,74.4,80.9,79.6,69.0,76.7,78.0,74.5,74.9,74.0,80.1,74.6,80.2,80.7,80.1,76.6,79.1,80.2,78.8,83.6,84.3,75.5,79.1,83.0,77.1,78.7,77.9,85.0,77.1,72.6,75.3,71.0,71.0,70.8,74.6,69.6,78.0,74.3,61.3,73.7,72.4,71.6,70.6,69.2,74.5,71.8
2022,77.8,78.9,78.2,75.7,76.9,80.5,74.8,82.3,78.4,69.1,78.6,79.2,76.3,76.6,74.2,80.2,76.4,81.0,82.3,80.8,78.2,81.7,82.2,79.3,84.9,81.2,73.6,80.9,83.0,79.1,79.7,78.5,83.8,78.9,74.2,75.1,75.1,73.0,71.5,78.6,70.1,79.4,75.2,64.0,75.6,75.0,73.0,72.9,68.9,76.1,73.6
2023,78.9,81.1,78.7,76.7,79.1,79.5,76.4,83.2,79.1,71.4,78.9,80.0,77.7,76.7,75.5,80.4,78.3,81.7,82.8,81.1,79.5,83.5,82.0,79.1,85.0,81.6,75.0,82.3,83.3,79.9,79.2,78.8,85.6,81.3,75.7,79.2,76.0,73.4,74.0,76.5,73.4,81.3,76.1,67.1,75.0,76.7,75.3,73.9,71.7,74.5,74.9
2024,79.1,81.6,79.1,77.5,78.5,78.8,77.1,82.9,80.8,72.7,77.5,80.6,77.5,77.2,76.6,80.5,78.8,81.9,83.9,82.2,80.0,83.5,81.1,78.8,85.0,83.5,77.1,80.6,83.0,80.3,79.2,78.9,84.9,82.7,76.0,79.0,75.5,74.5,72.9,76.2,75.3,80.7,77.5,67.6,74.4,77.9,74.3,74.5,73.9,75.5,74.3
