REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,ogółem,376.24,396.99,335.18,361.29,469.02,479.91,213.58,231.41,334.78,407.41,369.48,411.85,473.35,597.51,499.39
Dolnośląskie,ogółem,339.48,378.26,321.18,341.39,634.47,615.23,227.11,257.02,390.12,438.78,432.08,547.27,647.92,684.69,741.17
Kujawsko-Pomorskie,ogółem,362.46,317.26,278.59,235.21,390.82,446.65,180.23,178.46,238.23,248.45,261.08,288.25,330.08,566.66,460.31
Lubelskie,ogółem,253.05,314.26,300.54,234.88,385.06,268.04,85.91,109.09,401.32,380.45,346.93,390.11,382.03,455.22,384.56
Lubuskie,ogółem,360.56,363.32,287.09,300.9,475.5,519.84,204.33,203.66,263.04,311.5,310.92,505.03,702.16,704.27,445.92
Łódzkie,ogółem,382.81,646.94,497.17,460.84,421.82,378.01,242.72,260.38,340.43,367.08,441.65,467.63,450.57,718.31,495.65
Małopolskie,ogółem,311.1,416.64,333.83,401.62,520.41,598.28,271.84,178.36,286.98,351.89,311.0,315.94,440.54,465.53,399.43
Mazowieckie,ogółem,354.79,305.47,236.69,339.0,483.09,494.92,227.76,206.44,336.8,512.54,366.21,507.8,565.11,737.89,526.83
Opolskie,ogółem,389.38,415.05,461.05,559.65,660.81,656.63,421.52,273.23,349.89,476.14,404.23,653.39,753.78,1152.96,614.47
Podkarpackie,ogółem,366.19,305.38,294.19,354.45,258.52,295.65,138.05,224.14,329.26,407.17,384.66,326.24,366.25,527.18,485.17
Podlaskie,ogółem,311.73,268.32,295.82,253.6,369.91,349.74,115.41,181.64,360.78,347.7,306.5,321.75,396.07,457.4,519.15
Pomorskie,ogółem,474.69,413.84,348.78,378.24,400.95,458.39,199.25,275.34,319.94,362.25,387.02,373.24,387.15,408.67,388.64
Śląskie,ogółem,366.66,384.0,381.92,468.8,570.0,535.06,308.33,360.67,420.39,573.56,449.23,420.81,456.21,541.27,507.56
Świętokrzyskie,ogółem,549.88,683.59,590.16,643.28,596.78,416.2,177.36,129.42,289.83,369.32,452.21,373.16,421.53,567.32,366.19
Warmińsko-Mazurskie,ogółem,358.65,346.13,346.6,298.69,268.96,242.89,76.22,103.41,170.79,234.29,211.05,349.33,318.86,476.09,375.77
Wielkopolskie,ogółem,316.13,423.41,301.78,244.0,490.8,622.14,190.74,194.52,293.85,375.99,339.96,387.53,528.56,728.16,664.52
Zachodniopomorskie,ogółem,753.17,506.13,296.71,324.79,379.1,456.85,190.58,435.69,425.77,332.7,384.28,289.49,357.42,355.42,338.37
Polska,ujęcia i doprowadzenia wody,46.69,33.96,29.05,26.51,29.30,31.99,21.11,24.69,35.18,37.37,33.31,37.92,44.73,57.20,56.17
Dolnośląskie,ujęcia i doprowadzenia wody,43.69,44.65,38.29,30.15,32.38,34.58,23.59,21.35,34.09,35.59,34.20,30.43,37.03,44.35,55.26
Kujawsko-Pomorskie,ujęcia i doprowadzenia wody,53.37,33.05,27.26,22.22,20.92,21.49,14.41,20.51,24.82,24.43,23.35,29.60,32.68,43.67,31.50
Lubelskie,ujęcia i doprowadzenia wody,40.26,37.21,34.82,32.11,39.16,28.33,12.05,16.03,31.71,40.56,35.97,41.16,45.82,50.59,64.84
Lubuskie,ujęcia i doprowadzenia wody,35.94,29.37,24.79,19.48,21.34,18.66,8.77,21.37,26.93,26.59,23.52,23.15,39.59,45.09,49.69
Łódzkie,ujęcia i doprowadzenia wody,60.08,20.75,15.86,15.50,17.99,36.24,18.77,17.48,29.19,30.19,22.86,26.23,34.39,42.74,49.16
Małopolskie,ujęcia i doprowadzenia wody,30.88,38.80,33.21,34.42,49.65,60.87,27.45,24.19,36.24,45.06,30.61,35.58,50.71,54.94,64.46
Mazowieckie,ujęcia i doprowadzenia wody,60.99,34.79,28.28,23.96,35.13,35.02,25.70,32.83,42.20,45.52,39.77,47.67,47.55,73.38,56.73
