year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,376.2,339.5,362.5,253.1,360.6,382.8,311.1,354.8,389.4,366.2,311.7,474.7,366.7,549.9,358.6,316.1,753.2,29669.5,2102.3,1847.8,1449.0,606.5,2524.2,1696.6,5289.4,282.6,1080.3,1193.1,1827.0,2606.3,875.7,1454.0,1646.0,3188.5,11703.5,491.3,2197.8,153.9,158.5,198.2,328.4,3891.8,53.2,371.2,638.8,1711.3,193.3,22.6,288.3,836.4,168.5
2011,397.0,378.3,317.3,314.3,363.3,646.9,416.6,305.5,415.1,305.4,268.3,413.8,384.0,683.6,346.1,423.4,506.1,21586.0,2147.8,1144.0,1334.9,495.7,868.8,2138.7,3027.1,373.9,706.7,763.0,1346.5,2655.4,839.2,904.0,1702.8,1137.5,6832.6,315.5,871.4,162.7,222.6,128.4,226.0,974.2,141.0,421.4,315.3,796.9,176.4,0.0,425.9,1553.8,101.3
2012,335.2,321.2,278.6,300.5,287.1,497.2,333.8,236.7,461.1,294.2,295.8,348.8,381.9,590.2,346.6,301.8,296.7,18470.1,1841.5,943.4,1245.6,418.4,661.6,1835.8,2469.4,431.0,1027.0,487.5,927.3,2711.8,512.9,564.1,1679.8,712.9,6178.9,410.0,474.4,139.0,176.8,267.7,427.5,1067.9,125.1,793.0,140.5,273.2,514.6,13.5,197.7,924.3,233.6
2013,361.3,341.4,235.2,234.9,300.9,460.8,401.6,339.0,559.6,354.4,253.6,378.2,468.8,643.3,298.7,244.0,324.8,16837.4,1447.8,767.5,1144.6,328.5,643.6,1906.2,2097.8,512.9,1327.4,595.7,863.9,2374.8,695.0,472.7,909.4,749.7,7356.1,468.7,268.1,219.0,150.3,348.2,222.3,1131.2,207.2,1093.4,182.4,878.4,905.4,113.7,62.5,1032.6,72.7
2014,469.0,634.5,390.8,385.1,475.5,421.8,520.4,483.1,660.8,258.5,369.9,400.9,570.0,596.8,269.0,490.8,379.1,18599.3,1553.8,721.6,1390.0,359.3,744.5,2755.4,3086.0,364.5,1127.2,509.8,866.0,2223.8,518.9,635.3,799.5,943.7,9727.0,759.9,142.6,164.5,182.9,234.6,445.6,3075.1,84.0,418.6,253.0,422.3,421.0,161.4,115.8,2550.1,295.6
2015,479.9,615.2,446.6,268.0,519.8,378.0,598.3,494.9,656.6,295.6,349.7,458.4,535.1,416.2,242.9,622.1,456.9,20294.3,1657.3,740.1,1001.8,313.8,1493.8,3384.6,3085.6,350.3,1166.4,391.9,1541.3,2607.5,620.4,326.4,763.2,850.1,8609.1,685.6,317.5,194.3,644.3,310.0,370.1,3015.5,221.8,285.9,171.2,351.0,140.1,33.4,267.0,1349.8,251.7
2016,213.6,227.1,180.2,85.9,204.3,242.7,271.8,227.8,421.5,138.1,115.4,199.2,308.3,177.4,76.2,190.7,190.6,13380.0,1130.2,495.6,424.7,147.2,770.7,1528.8,2270.9,279.2,763.2,351.4,730.2,2003.5,262.8,310.5,1303.0,608.2,3248.4,245.2,182.9,66.9,53.6,215.0,209.3,1150.3,35.7,260.8,6.3,117.4,194.1,23.2,94.7,374.9,18.1
2017,231.4,257.0,178.5,109.1,203.7,260.4,178.4,206.4,273.2,224.1,181.6,275.3,360.7,129.4,103.4,194.5,435.7,15647.9,1022.2,704.7,562.9,358.4,715.2,1351.3,2910.2,408.6,852.1,773.6,790.4,2573.4,300.9,386.3,1249.5,688.5,3844.2,102.0,89.6,330.4,58.1,412.2,59.5,1297.2,36.8,153.4,45.3,176.4,520.6,29.1,103.8,346.8,83.1
2018,334.8,390.1,238.2,401.3,263.0,340.4,287.0,336.8,349.9,329.3,360.8,319.9,420.4,289.8,170.8,293.9,425.8,22294.3,1631.4,851.8,1110.0,451.2,1189.8,2029.9,3753.3,553.7,1253.8,1229.6,1240.5,2930.9,525.3,533.8,1950.9,1058.6,7042.3,378.1,338.9,398.0,220.6,393.2,238.8,1783.3,178.9,164.3,674.1,527.8,423.7,3.1,332.0,642.8,344.6
2019,407.4,438.8,248.4,380.4,311.5,367.1,351.9,512.5,476.1,407.2,347.7,362.2,573.6,369.3,234.3,376.0,332.7,23668.1,1702.7,836.2,1413.4,444.3,1225.4,2531.3,4063.6,500.1,1484.4,557.3,1503.5,3279.2,578.4,450.0,1857.4,1240.9,7951.0,217.1,397.2,349.1,174.4,219.5,230.2,1834.6,62.3,1281.5,793.0,558.6,219.7,44.9,426.4,822.4,320.1
2020,369.5,432.1,261.1,346.9,310.9,441.6,311.0,366.2,404.2,384.7,306.5,387.0,449.2,452.2,211.1,340.0,384.3,20977.3,1645.0,785.5,1225.3,386.5,915.1,1735.0,3621.8,341.6,1226.5,482.3,1354.3,3014.1,607.0,300.0,2102.2,1235.1,6310.5,274.0,237.6,156.0,56.6,441.8,229.6,2312.7,179.3,556.6,277.7,243.9,228.2,152.9,182.0,423.8,357.7
2021,411.9,547.3,288.2,390.1,505.0,467.6,315.9,507.8,653.4,326.2,321.8,373.2,420.8,373.2,349.3,387.5,289.5,23762.3,1456.6,988.3,1390.9,377.9,1040.8,2014.0,4335.9,422.5,1846.8,798.2,1408.1,3196.1,573.5,596.1,2138.2,1178.4,7445.2,357.0,330.7,276.5,308.8,298.4,191.8,2518.3,146.8,521.6,537.7,306.0,287.2,101.6,338.6,766.0,158.2
2022,473.4,647.9,330.1,382.0,702.2,450.6,440.5,565.1,753.8,366.2,396.1,387.1,456.2,421.5,318.9,528.6,357.4,27916.1,1766.8,1084.4,1534.7,641.7,1353.3,2868.7,4323.0,436.3,1759.5,692.4,1543.9,3746.9,691.8,731.3,3243.3,1497.9,11722.3,381.4,973.6,354.6,587.7,575.7,551.4,3936.2,107.8,545.6,710.1,314.0,456.3,40.9,298.8,1548.5,339.7
2023,597.5,684.7,566.7,455.2,704.3,718.3,465.5,737.9,1153.0,527.2,457.4,408.7,541.3,567.3,476.1,728.2,355.4,35571.2,2109.7,1442.2,1684.1,727.1,1671.3,3107.7,6669.9,639.0,3177.9,819.4,2346.1,4099.9,1109.2,1212.8,3001.6,1753.4,16565.7,438.9,1290.9,0.0,0.0,0.0,519.9,4336.3,171.9,0.0,847.0,843.6,399.7,0.0,1055.5,3043.4,0.0
