REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,ogółem,64.7,65.7,68.6,70.3,71.5,72.7,73.5,73.6,74.0,74.5,74.9,75.2,75.7,75.9
Dolnośląskie,ogółem,75.9,76.8,77.2,77.7,78.6,79.7,80.7,80.9,81.1,81.9,82.2,82.4,82.7,81.5
Kujawsko-Pomorskie,ogółem,69.8,70.2,71.0,70.8,71.6,72.1,72.8,72.7,73.0,73.1,73.8,73.4,73.9,73.7
Lubelskie,ogółem,53.0,53.3,54.9,55.5,56.4,57.2,57.0,57.0,57.3,58.0,58.0,58.0,58.6,58.7
Lubuskie,ogółem,67.5,68.0,70.3,71.4,72.4,74.1,75.8,76.7,76.8,77.2,77.5,78.0,78.9,79.4
Łódzkie,ogółem,66.0,67.3,67.0,68.0,67.9,68.2,69.3,69.3,69.5,70.2,70.6,70.4,71.1,71.4
Małopolskie,ogółem,55.4,56.9,58.1,59.6,62.7,64.6,66.3,66.1,66.6,67.3,67.6,68.2,67.9,70.4
Mazowieckie,ogółem,53.0,52.6,63.9,69.5,69.9,71.3,71.9,72.3,73.1,73.5,74.4,74.7,74.2,74.4
Opolskie,ogółem,66.1,68.1,68.7,70.7,72.2,74.5,76.0,75.6,76.0,76.8,77.2,78.8,79.7,79.6
Podkarpackie,ogółem,63.4,66.2,68.7,69.9,71.5,72.4,73.4,73.9,74.7,75.6,76.5,77.3,78.2,79.0
Podlaskie,ogółem,62.5,63.6,65.5,66.4,66.8,67.4,67.6,67.8,68.2,68.7,69.2,69.8,69.6,69.2
Pomorskie,ogółem,79.3,80.8,81.8,83.1,83.7,83.2,83.3,82.7,82.8,83.1,84.4,84.1,84.6,83.6
Śląskie,ogółem,72.0,72.8,76.2,76.9,78.8,80.2,80.7,80.8,81.1,81.7,81.1,81.9,83.1,83.6
Świętokrzyskie,ogółem,48.9,51.1,53.6,56.3,58.5,61.7,63.2,64.0,64.3,65.0,65.8,66.7,68.2,69.9
Warmińsko-Mazurskie,ogółem,70.8,72.1,73.4,74.8,75.0,75.9,75.7,76.6,77.3,77.1,77.7,77.5,78.4,79.0
Wielkopolskie,ogółem,62.5,63.3,66.2,67.8,69.4,71.9,72.7,73.1,73.1,73.4,73.3,73.9,74.8,73.6
Zachodniopomorskie,ogółem,78.2,80.3,80.9,81.9,82.1,83.7,84.0,81.4,83.1,83.0,83.6,83.5,84.5,85.3
Polska,miasto,88.0,88.4,91.7,93.3,93.9,94.6,94.8,94.5,94.6,94.8,94.7,94.6,95.0,94.8
