REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,ogółem,268.9,277.2,268.6,262.5,266.2,261.6,263.8,251.3,245.6,229.7,219.2,232.8,237.2,210.1,214.1
Dolnośląskie,ogółem,145.4,146.4,141.0,136.1,135.7,135.8,138.4,131.3,136.5,128.5,113.3,119.5,125.3,119.9,127.4
Kujawsko-Pomorskie,ogółem,103.3,105.4,106.8,104.2,106.3,107.0,113.9,114.9,116.1,110.5,108.6,112.5,112.2,113.4,114.7
Lubelskie,ogółem,159.5,161.6,156.8,163.5,153.6,147.7,147.2,142.8,137.8,130.8,132.7,140.5,138.0,129.9,133.6
Lubuskie,ogółem,87.5,86.1,90.2,87.0,86.1,82.5,84.5,79.0,79.7,74.5,76.5,77.8,77.2,78.6,90.3
Łódzkie,ogółem,114.5,121.1,119.6,112.5,104.2,111.2,105.7,107.5,110.1,105.5,104.3,111.5,114.5,107.5,110.4
Małopolskie,ogółem,147.9,148.6,151.0,141.7,135.7,139.3,142.9,141.1,139.9,115.3,117.8,112.9,115.4,93.7,99.8
Mazowieckie,ogółem,525.9,514.7,519.8,507.9,550.9,521.4,513.0,486.6,456.3,452.5,441.6,506.2,517.6,437.6,444.0
Opolskie,ogółem,108.3,107.8,108.5,105.6,108.6,122.8,132.7,132.9,134.2,135.0,136.1,132.1,127.8,123.9,125.9
Podkarpackie,ogółem,127.7,130.3,113.2,119.0,115.5,125.3,111.0,108.8,105.7,113.2,106.4,71.2,94.1,103.5,111.9
Podlaskie,ogółem,65.9,66.9,69.9,69.2,71.7,73.5,73.8,71.4,74.9,75.0,76.1,75.7,76.6,79.5,79.8
Pomorskie,ogółem,88.6,97.1,88.3,82.2,82.0,86.9,87.5,82.3,85.9,79.4,77.5,80.2,82.1,77.8,81.4
Śląskie,ogółem,86.4,86.5,85.0,84.2,83.1,82.6,81.4,83.6,82.1,80.2,81.8,86.6,87.5,87.1,88.7
Świętokrzyskie,ogółem,1078.5,1061.1,1007.3,964.2,1045.0,1063.0,1129.3,1121.7,1224.1,1111.3,858.4,1040.4,1112.2,990.7,949.2
Warmińsko-Mazurskie,ogółem,88.6,89.4,86.6,84.2,86.6,85.9,83.6,83.8,83.7,85.2,73.5,76.1,74.9,74.6,74.7
Wielkopolskie,ogółem,447.3,521.9,491.0,498.0,479.7,433.4,472.6,405.0,390.0,370.6,364.6,352.6,345.2,250.6,271.7
Zachodniopomorskie,ogółem,935.2,983.9,919.9,874.8,835.0,865.7,816.7,785.4,700.2,564.4,579.5,571.6,548.1,550.5,539.7
Polska,miasto,191.0,207.9,201.6,197.7,194.4,185.7,187.0,174.5,173.7,164.5,164.9,169.2,171.9,148.1,154.0
Dolnośląskie,miasto,88.1,87.9,83.1,78.4,78.3,77.8,78.0,68.8,81.3,72.3,71.4,78.3,82.3,69.2,78.6
Kujawsko-Pomorskie,miasto,99.8,101.4,94.4,91.9,93.9,95.4,100.1,101.4,101.5,101.7,104.3,111.8,108.0,108.4,111.3
Lubelskie,miasto,148.8,156.3,149.3,159.1,150.6,153.2,151.8,147.9,142.7,138.1,136.8,144.0,142.5,130.1,135.7
Lubuskie,miasto,57.5,57.9,58.2,56.3,55.9,55.7,56.7,56.5,59.3,58.3,59.0,59.2,60.9,63.7,80.3
Łódzkie,miasto,55.2,55.0,54.3,53.3,51.9,53.9,53.7,54.2,56.5,56.9,56.7,57.2,57.7,57.2,58.3
Małopolskie,miasto,233.9,255.7,261.1,245.6,229.7,234.5,241.5,237.9,234.9,183.2,191.6,181.2,188.9,144.2,154.6
Mazowieckie,miasto,284.9,289.4,285.8,275.6,276.2,236.8,231.4,224.6,229.7,209.2,198.8,255.9,271.2,232.0,212.1
Opolskie,miasto,83.3,85.4,85.0,85.5,83.8,89.6,88.6,118.9,129.2,136.5,130.2,138.7,130.0,123.0,123.0
Podkarpackie,miasto,213.2,229.0,200.5,211.2,201.9,232.4,193.8,188.2,178.8,198.0,169.6,85.0,138.5,161.9,186.7
Podlaskie,miasto,54.4,54.3,53.2,52.0,53.3,53.8,53.9,54.4,57.2,56.8,56.8,57.5,57.1,59.3,60.2
Pomorskie,miasto,108.4,121.2,108.9,99.6,98.8,105.9,105.7,99.5,103.9,98.3,95.4,97.9,100.7,94.1,100.2
Śląskie,miasto,84.5,85.0,82.5,80.5,80.1,82.4,80.9,83.7,81.8,79.5,75.8,78.1,78.6,77.3,79.3
