year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,64.7,75.9,69.8,53.0,67.5,66.0,55.4,53.0,66.1,63.4,62.5,79.3,72.0,48.9,70.8,62.5,78.2,88.0,95.2,94.1,92.8,91.8,94.2,88.5,70.1,95.1,93.1,92.4,95.5,84.5,86.2,96.3,86.8,93.4,28.5,31.2,32.5,18.3,25.3,16.1,23.5,22.3,34.3,42.4,17.5,47.9,28.2,18.2,33.5,31.7,44.8
2011,65.7,76.8,70.2,53.3,68.0,67.3,56.9,52.6,68.1,66.2,63.6,80.8,72.8,51.1,72.1,63.3,80.3,88.4,95.2,94.4,92.9,90.4,95.7,90.0,69.2,96.1,93.4,93.5,96.0,84.8,87.0,97.1,88.1,93.9,30.6,34.3,33.4,18.9,29.3,17.2,25.0,22.9,37.3,46.9,18.3,51.9,31.0,21.7,35.5,32.1,50.1
2012,68.6,77.2,71.0,54.9,70.3,67.0,58.1,63.9,68.7,68.7,65.5,81.8,76.2,53.6,73.4,66.2,80.9,91.7,94.9,95.6,94.5,92.1,94.6,90.1,86.1,95.5,94.4,95.3,96.3,87.3,89.5,97.9,90.5,94.7,33.1,36.8,33.8,20.6,32.6,18.8,27.5,23.9,39.3,50.6,20.1,54.6,38.0,24.3,37.7,35.8,50.3
2013,70.3,77.7,70.8,55.5,71.4,68.0,59.6,69.5,70.7,69.9,66.4,83.1,76.9,56.3,74.8,67.8,81.9,93.3,94.7,94.4,94.5,93.3,94.7,90.9,93.8,95.3,95.4,95.9,96.8,88.1,92.5,98.2,91.5,94.8,35.3,39.2,35.4,22.0,33.8,21.8,29.9,25.9,43.9,52.0,21.3,57.6,38.6,27.0,40.8,38.5,53.8
2014,71.5,78.6,71.6,56.4,72.4,67.9,62.7,69.9,72.2,71.5,66.8,83.7,78.8,58.5,75.0,69.4,82.1,93.9,94.9,95.2,95.2,93.9,93.3,93.8,93.8,95.2,95.9,96.1,96.6,89.6,94.2,96.8,93.3,94.9,37.4,41.8,36.4,23.0,35.7,24.2,33.3,26.8,47.2,54.3,22.0,59.8,42.1,29.6,43.4,40.1,54.2
2015,72.7,79.7,72.1,57.2,74.1,68.2,64.6,71.3,74.5,72.4,67.4,83.2,80.2,61.7,75.9,71.9,83.7,94.6,95.6,95.7,95.4,93.4,93.8,95.0,95.0,95.9,96.1,96.6,95.7,90.5,95.3,97.1,94.6,96.2,39.6,44.1,37.1,24.4,38.3,24.4,36.0,28.5,51.4,55.8,22.6,60.6,45.3,34.7,45.3,44.3,56.7
2016,73.5,80.7,72.8,57.0,75.8,69.3,66.3,71.9,76.0,73.4,67.6,83.3,80.7,63.2,75.7,72.7,84.0,94.8,96.5,96.6,94.3,93.6,95.1,95.4,95.2,95.7,96.6,96.6,95.2,91.0,95.5,96.0,94.6,96.3,41.2,45.8,37.8,24.8,42.9,25.5,39.0,30.0,54.7,57.1,22.8,62.1,46.2,37.2,46.5,46.2,57.1
2017,73.6,80.9,72.7,57.0,76.7,69.3,66.1,72.3,75.6,73.9,67.8,82.7,80.8,64.0,76.6,73.1,81.4,94.5,96.2,95.8,93.9,94.9,94.9,94.8,95.2,94.9,96.5,96.6,94.5,91.1,96.1,96.9,94.0,92.5,42.0,47.4,39.0,25.0,43.1,26.0,39.3,31.1,54.1,58.0,23.4,62.0,46.6,38.2,47.4,48.1,57.1
2018,74.0,81.1,73.0,57.3,76.8,69.5,66.6,73.1,76.0,74.7,68.2,82.8,81.1,64.3,77.3,73.1,83.1,94.6,96.1,95.8,93.9,94.7,95.2,94.2,95.9,94.6,96.7,96.8,94.4,91.2,95.3,96.4,94.2,94.4,42.9,48.3,40.0,25.6,43.6,26.5,40.9,31.8,54.8,59.3,23.8,62.4,47.9,39.1,49.9,48.0,58.6
2019,74.5,81.9,73.1,58.0,77.2,70.2,67.3,73.5,76.8,75.6,68.7,83.1,81.7,65.0,77.1,73.4,83.0,94.8,96.4,95.7,94.3,94.8,95.8,94.1,95.9,94.4,96.4,97.0,94.4,91.3,95.6,96.5,94.5,94.5,44.0,50.5,40.7,26.5,44.7,27.7,42.4,32.7,56.9,60.9,24.6,63.5,50.0,39.6,49.1,48.6,58.2
2020,74.9,82.2,73.8,58.0,77.5,70.6,67.6,74.4,77.2,76.5,69.2,84.4,81.1,65.8,77.7,73.3,83.6,94.7,96.7,96.8,94.0,95.0,96.4,92.8,96.5,93.8,96.6,97.0,94.0,90.6,95.2,96.3,94.0,94.8,45.4,51.5,41.3,27.1,45.6,28.2,44.2,34.1,58.4,62.5,25.8,67.8,50.8,41.7,50.5,49.4,59.2
2021,75.2,82.4,73.4,58.0,78.0,70.4,68.2,74.7,78.8,77.3,69.8,84.1,81.9,66.7,77.5,73.9,83.5,94.6,96.2,95.9,93.8,95.9,96.1,92.9,96.6,93.9,97.0,97.3,93.4,91.1,95.3,95.9,93.5,94.4,46.5,53.2,41.9,27.3,45.4,28.7,45.4,34.8,61.6,63.4,26.9,68.2,52.7,43.4,50.7,51.4,60.1
2022,75.7,82.7,73.9,58.6,78.9,71.1,67.9,74.2,79.7,78.2,69.6,84.6,83.1,68.2,78.4,74.8,84.5,95.0,96.4,96.1,94.0,97.0,96.8,92.0,95.7,95.2,97.2,96.9,93.9,92.6,96.7,96.8,95.2,95.3,47.2,54.2,43.2,28.1,46.4,29.7,45.9,34.9,62.4,64.9,27.1,69.0,53.3,45.1,52.0,51.5,61.2
