REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,ogółem,376.24,396.99,335.18,361.29,469.02,479.91,213.58,231.41,334.78,407.41,369.48,411.85,473.35,597.51,499.39
Dolnośląskie,ogółem,339.5,378.3,321.2,341.4,634.5,615.2,227.1,257.0,390.1,438.8,432.1,547.3,647.9,684.7,741.2
Kujawsko-Pomorskie,ogółem,362.5,317.3,278.6,235.2,390.8,446.6,180.2,178.5,238.2,248.4,261.1,288.2,330.1,566.7,460.3
Lubelskie,ogółem,253.1,314.3,300.5,234.9,385.1,268.0,85.9,109.1,401.3,380.4,346.9,390.1,382.0,455.2,384.6
Lubuskie,ogółem,360.6,363.3,287.1,300.9,475.5,519.8,204.3,203.7,263.0,311.5,310.9,505.0,702.2,704.3,445.9
Łódzkie,ogółem,382.8,646.9,497.2,460.8,421.8,378.0,242.7,260.4,340.4,367.1,441.6,467.6,450.6,718.3,495.6
Małopolskie,ogółem,311.1,416.6,333.8,401.6,520.4,598.3,271.8,178.4,287.0,351.9,311.0,315.9,440.5,465.5,399.4
Mazowieckie,ogółem,354.8,305.5,236.7,339.0,483.1,494.9,227.8,206.4,336.8,512.5,366.2,507.8,565.1,737.9,526.8
Opolskie,ogółem,389.4,415.1,461.1,559.6,660.8,656.6,421.5,273.2,349.9,476.1,404.2,653.4,753.8,1153.0,614.5
Podkarpackie,ogółem,366.2,305.4,294.2,354.4,258.5,295.6,138.1,224.1,329.3,407.2,384.7,326.2,366.2,527.2,485.2
Podlaskie,ogółem,311.7,268.3,295.8,253.6,369.9,349.7,115.4,181.6,360.8,347.7,306.5,321.8,396.1,457.4,519.1
Pomorskie,ogółem,474.7,413.8,348.8,378.2,400.9,458.4,199.2,275.3,319.9,362.2,387.0,373.2,387.1,408.7,388.6
Śląskie,ogółem,366.7,384.0,381.9,468.8,570.0,535.1,308.3,360.7,420.4,573.6,449.2,420.8,456.2,541.3,507.6
Świętokrzyskie,ogółem,549.9,683.6,590.2,643.3,596.8,416.2,177.4,129.4,289.8,369.3,452.2,373.2,421.5,567.3,366.2
Warmińsko-Mazurskie,ogółem,358.6,346.1,346.6,298.7,269.0,242.9,76.2,103.4,170.8,234.3,211.1,349.3,318.9,476.1,375.8
Wielkopolskie,ogółem,316.1,423.4,301.8,244.0,490.8,622.1,190.7,194.5,293.9,376.0,340.0,387.5,528.6,728.2,664.5
Zachodniopomorskie,ogółem,753.2,506.1,296.7,324.8,379.1,456.9,190.6,435.7,425.8,332.7,384.3,289.5,357.4,355.4,338.4
Polska,służące ochronie środowiska,180.25,200.58,167.08,179.02,235.06,250.1,107.51,112.6,171.44,204.82,188.73,204.18,229.74,300.48,249.84
Dolnośląskie,służące ochronie środowiska,11.58,12.91,10.41,9.77,17.64,19.31,5.18,5.21,11.48,13.31,13.57,15.33,20.23,26.76,26.69
Kujawsko-Pomorskie,służące ochronie środowiska,8.17,8.48,7.64,6.34,10.95,13.32,5.25,4.96,6.91,6.9,7.6,7.95,8.82,15.97,13.31
Lubelskie,służące ochronie środowiska,6.72,8.79,8.86,6.35,11.55,7.98,2.35,2.71,12.46,11.24,10.08,11.25,10.87,12.67,9.61
Lubuskie,służące ochronie środowiska,3.84,3.72,3.41,3.61,6.01,7.09,3.1,2.59,3.67,4.45,4.62,6.08,6.52,7.54,4.54
Łódzkie,służące ochronie środowiska,13.22,25.91,19.66,17.95,15.89,13.4,8.98,9.52,12.26,13.45,16.31,16.12,15.47,24.74,15.85
Małopolskie,służące ochronie środowiska,9.95,13.13,11.59,14.28,20.1,26.99,12.42,8.18,13.62,15.5,14.15,13.52,18.26,21.41,18.12
Mazowieckie,służące ochronie środowiska,20.91,21.63,16.25,25.44,35.48,36.38,16.55,13.74,24.37,39.28,26.84,38.67,42.68,55.39,38.64
Opolskie,służące ochronie środowiska,5.42,5.2,5.57,6.59,7.16,6.84,4.5,3.43,4.48,5.93,4.82,7.29,6.94,9.68,8.25
Podkarpackie,służące ochronie środowiska,10.25,8.6,7.77,9.57,5.88,8.18,3.61,6.24,9.72,10.68,10.06,7.32,8.41,12.62,13.24
Podlaskie,służące ochronie środowiska,4.25,4.06,5.11,4.01,6.17,6.26,1.86,2.69,5.13,5.41,4.93,4.77,6.08,6.84,7.47
Pomorskie,służące ochronie środowiska,13.78,12.44,8.69,10.44,12.55,13.97,6.64,9.31,10.01,11.39,12.87,11.49,12.82,12.06,11.78
Śląskie,służące ochronie środowiska,24.45,24.88,24.14,28.91,37.25,33.04,18.65,19.08,24.61,29.95,25.21,26.13,28.18,33.96,30.68
Świętokrzyskie,służące ochronie środowiska,9.64,13.01,11.37,12.16,11.39,7.69,3.36,1.99,4.72,6.4,7.49,5.97,6.51,9.4,5.63
Warmińsko-Mazurskie,służące ochronie środowiska,6.64,6.44,6.96,5.68,4.28,4.6,1.39,1.95,3.15,4.23,4.23,6.91,5.9,8.41,6.63
Wielkopolskie,służące ochronie środowiska,14.25,19.5,13.27,10.76,23.67,33.35,9.09,9.53,14.27,18.98,16.97,18.84,24.97,35.52,32.92
Zachodniopomorskie,służące ochronie środowiska,17.21,11.88,6.4,7.15,9.09,11.68,4.59,11.46,10.56,7.7,8.97,6.52,7.09,7.5,6.46
Polska,służące gospodarce wodnej,58.82,51.74,45.99,50.47,62.71,54.35,27.89,34.08,40.71,53.18,43.98,53.93,65.65,71.13,59.63
Dolnośląskie,służące gospodarce wodnej,4.76,5.29,5.03,6.62,12.81,10.18,5.7,7.1,7.19,7.69,7.21,10.86,10.68,5.81,8.46
Kujawsko-Pomorskie,służące gospodarce wodnej,4.38,2.5,2.01,1.78,2.53,2.07,0.95,1.17,1.26,1.6,1.18,1.67,2.13,2.74,1.8
Lubelskie,służące gospodarce wodnej,2.39,2.48,1.9,2.02,2.12,1.5,0.68,1.12,1.58,2.01,1.73,1.93,1.92,2.49,3.1
Lubuskie,służące gospodarce wodnej,2.25,2.41,1.44,1.47,2.0,1.65,0.32,0.83,0.73,0.75,0.49,2.17,4.87,3.82,2.61
Łódzkie,służące gospodarce wodnej,2.87,1.18,1.08,1.19,1.56,2.18,0.99,1.13,1.62,1.45,1.37,2.43,2.27,3.34,3.4
Małopolskie,służące gospodarce wodnej,7.15,9.83,6.87,7.96,8.78,6.28,2.72,1.78,2.46,4.26,3.48,4.36,6.66,4.93,4.48
Mazowieckie,służące gospodarce wodnej,9.86,4.95,4.42,4.24,6.96,7.22,3.58,4.56,5.58,6.47,6.52,7.52,8.7,11.68,9.25
Opolskie,służące gospodarce wodnej,1.12,1.75,2.13,2.7,3.77,3.98,2.41,1.04,1.23,1.8,1.58,2.97,4.82,8.19,1.21
Podkarpackie,służące gospodarce wodnej,2.61,2.12,2.56,2.88,3.2,2.2,1.23,1.63,1.84,3.61,3.27,3.93,4.17,5.43,3.31
