REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,1243969.8,1074792.8,707055.0,648615.9,861951.2,854553.9,333130.6,426982.8,622001.2,626983.9,607463.0,687637.4,1015348.8,1297034.0,1281994.0
Dolnośląskie,73601.1,62938.3,52997.0,45153.8,46859.2,44545.4,29983.2,30101.7,53364.0,56492.0,34853.0,65603.6,91011.2,77517.6,121185.0
Kujawsko-Pomorskie,62349.9,64895.9,41479.4,48869.5,31088.4,38389.3,17703.0,18149.0,22926.8,18898.0,20428.0,27192.8,37143.0,51124.4,40656.4
Lubelskie,89857.7,62486.0,45507.6,30687.4,35870.6,22256.5,6878.7,14523.4,43033.6,37960.1,76791.0,36082.8,62428.4,113153.6,177849.0
Lubuskie,55750.2,25660.3,18605.8,19661.1,22813.7,26505.6,5892.8,7695.2,10773.2,21009.8,17091.0,17165.8,74602.7,26702.4,34958.7
Łódzkie,55764.7,33761.2,35508.9,38143.4,36559.1,45080.1,15013.7,19415.5,33725.5,29064.7,25324.0,39854.7,42525.4,52724.4,58126.8
Małopolskie,63353.5,89756.3,67190.9,65331.0,73305.8,111686.9,42006.2,54128.7,73376.0,87244.8,76573.0,93988.4,142774.5,121609.6,133990.5
Mazowieckie,122035.4,140971.9,86183.3,95976.7,194436.6,195669.6,48468.3,74210.5,91179.4,74798.0,70820.0,97019.1,149867.2,191306.8,152808.7
Opolskie,12963.9,14121.5,12241.4,15679.4,25892.2,15803.1,6598.5,15988.4,14220.1,12408.4,11588.0,13477.8,9875.1,30566.8,21891.3
Podkarpackie,71318.8,36923.2,45521.5,67699.1,67921.5,48952.8,15289.1,21705.9,39595.6,38218.4,47695.0,61603.1,79144.0,130564.2,88473.9
Podlaskie,139760.7,38361.2,21346.3,28118.8,26805.5,15396.2,7173.9,5907.8,14507.7,13020.6,15359.0,22293.7,31133.4,44330.5,61281.1
Pomorskie,36570.7,39656.2,43806.1,47037.5,38380.6,74096.3,20019.9,33816.1,36593.1,41138.3,30890.0,45025.2,46399.8,84476.1,72893.1
Śląskie,34565.7,58627.9,41897.2,30798.0,42280.0,57956.5,39081.2,38251.0,48535.2,65351.3,44266.0,49288.2,77723.0,120062.9,87512.7
Świętokrzyskie,46669.9,39883.9,28263.8,33948.4,23007.7,28496.9,10364.8,12787.9,29324.4,25537.8,26970.0,16588.4,18603.7,45373.1,46266.3
Warmińsko-Mazurskie,79231.9,68425.5,38870.6,24774.1,34140.3,18998.1,16474.4,23306.2,22278.3,24898.5,22965.0,23837.3,45615.4,67261.5,57901.6
Wielkopolskie,110144.0,146902.9,99910.0,33567.1,128012.5,88175.2,38768.4,42806.4,68883.6,60405.0,69747.0,57245.8,80885.1,94694.2,95679.8
Zachodniopomorskie,190031.7,151420.6,27725.2,23170.6,34577.5,22545.4,13414.5,14189.1,19684.7,20538.2,16098.0,21370.7,25616.9,45565.9,30519.1
