REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Polska,63,66,67,67,68,70,69,70,72,74,78,79,78
Dolnośląskie,71,75,76,75,76,78,77,77,78,80,86,87,84
Kujawsko-Pomorskie,52,54,55,55,55,57,56,56,58,58,65,65,65
Lubelskie,44,46,48,48,48,49,48,49,49,51,55,55,55
Lubuskie,54,55,56,56,58,59,58,58,59,60,65,65,63
Łódzkie,59,61,63,63,64,65,65,65,67,69,76,75,73
Mazowieckie,99,103,106,107,107,110,109,111,114,118,122,120,120
Małopolskie,56,58,59,59,60,63,63,64,66,67,71,72,69
Opolskie,53,55,56,56,57,58,57,57,58,60,64,66,63
Podkarpackie,44,46,48,48,49,50,49,49,51,52,56,57,55
Podlaskie,48,50,50,51,51,51,51,52,53,55,61,60,60
Pomorskie,61,63,66,64,64,67,67,67,69,71,73,76,77
Śląskie,67,70,71,69,70,72,71,72,74,75,78,81,82
Świętokrzyskie,50,51,51,50,51,52,51,51,53,54,59,59,57
Warmińsko-Mazurskie,46,48,49,49,49,50,50,50,50,51,57,57,56
Wielkopolskie,66,69,71,72,73,75,75,76,77,80,84,83,81
Zachodniopomorskie,55,55,57,56,58,60,58,59,60,61,66,66,64
