year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Mazowieckie,Małopolskie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Mazowieckie,Małopolskie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,63,71,52,44,54,59,99,56,53,44,48,61,67,50,46,66,55
2011,66,75,54,46,55,61,103,58,55,46,50,63,70,51,48,69,55
2012,67,76,55,48,56,63,106,59,56,48,50,66,71,51,49,71,57
2013,67,75,55,48,56,63,107,59,56,48,51,64,69,50,49,72,56
2014,68,76,55,48,58,64,107,60,57,49,51,64,70,51,49,73,58
2015,70,78,57,49,59,65,110,63,58,50,51,67,72,52,50,75,60
2016,69,77,56,48,58,65,109,63,57,49,51,67,71,51,50,75,58
2017,70,77,56,49,58,65,111,64,57,49,52,67,72,51,50,76,59
2018,72,78,58,49,59,67,114,66,58,51,53,69,74,53,50,77,60
2019,74,80,58,51,60,69,118,67,60,52,55,71,75,54,51,80,61
2020,78,86,65,55,65,76,122,71,64,56,61,73,78,59,57,84,66
2021,79,87,65,55,65,75,120,72,66,57,60,76,81,59,57,83,66
2022,78,84,65,55,63,73,120,69,63,55,60,77,82,57,56,81,64
