year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,2.4,1.82,1.73,1.04,0.89,x,1.24,4.68,0.93,1.83,x,2.91,2.51,0.98,0.89,1.25,1.07
2011,2.03,1.55,1.08,0.96,0.75,2.45,1.2,3.71,1.23,2.26,0.88,1.74,2.2,1.03,0.75,1.59,1.12
2012,2.26,x,x,1.39,0.87,2.49,1.61,4.58,x,2.3,1.36,1.32,1.94,2.15,x,1.39,1.72
2013,2.01,2.61,x,0.81,0.91,1.8,1.78,3.37,1.07,x,0.86,x,1.72,x,0.58,1.45,1.5
2014,2.2,2.51,1.67,0.95,0.74,3.24,1.6,3.33,0.74,3.45,0.68,1.98,1.99,0.59,0.67,1.9,1.61
2015,2.42,2.67,1.42,0.88,1.89,x,1.87,x,0.83,2.74,0.89,2.03,1.82,0.97,1.17,1.89,2.4
2016,2.09,2.28,1.16,0.87,1.47,x,2.61,2.51,x,2.37,1.02,2.13,1.69,0.67,0.46,1.54,1.06
2017,2.06,1.72,1.15,0.83,1.6,3.96,2.28,3.19,1.0,2.05,0.74,2.16,1.54,1.03,0.58,1.6,1.05
2018,1.7,0.97,0.91,x,0.96,3.04,2.17,2.44,1.24,x,0.57,1.79,1.48,x,0.61,1.22,0.76
2019,1.67,1.57,0.83,0.78,x,2.07,2.45,2.26,0.79,2.4,1.63,1.78,1.6,x,0.68,1.15,0.57
2020,1.64,1.37,1.16,0.91,0.64,1.59,2.43,2.53,0.55,2.48,0.92,1.51,1.4,0.46,0.61,1.3,0.51
2021,1.56,1.68,1.05,0.86,0.68,1.01,2.25,2.5,0.51,2.19,0.79,1.76,1.22,0.44,0.76,0.99,0.56
2022,1.8,1.68,0.92,1.0,0.56,0.8,2.22,3.17,0.78,2.1,0.78,1.94,1.52,0.38,1.02,1.26,0.97
