REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Polska,12.28,10.3,11.64,10.7,11.01,11.94,11.4,11.8,9.06,8.71,8.92,9.19,10.93
Dolnośląskie,9.93,8.37,x,13.4,12.48,13.7,12.11,9.06,4.64,6.81,6.68,9.76,10.47
Kujawsko-Pomorskie,8.19,5.15,x,x,8.32,6.12,7.31,7.42,5.29,4.95,6.71,6.47,5.87
Lubelskie,5.32,4.43,6.91,4.08,4.45,4.3,5.62,5.34,x,3.92,4.58,4.88,6.2
Lubuskie,3.17,2.64,4.07,4.72,4.31,9.51,7.75,9.44,5.39,x,3.93,3.81,3.43
Łódzkie,x,11.41,11.08,8.58,16.15,x,x,24.86,17.94,11.79,9.9,6.82,5.83
Małopolskie,6.44,6.21,8.16,9.45,8.25,9.2,14.78,13.91,12.65,13.72,13.63,13.57,13.84
Mazowieckie,25.57,21.28,25.58,18.81,16.19,x,12.98,17.51,12.63,11.47,13.31,13.8,17.49
Opolskie,4.64,6.6,x,5.82,3.57,3.09,x,4.71,5.89,3.5,2.84,2.86,4.35
Podkarpackie,7.7,8.19,8.95,x,15.16,13.06,12.56,10.91,x,11.29,12.58,11.85,12.63
Podlaskie,x,3.69,6.59,4.31,2.85,3.72,5.49,3.79,2.61,7.09,4.11,3.66,3.8
Pomorskie,13.94,8.66,6.08,x,9.34,9.25,10.65,10.71,8.92,10.14,8.51,10.54,13.05
Śląskie,14.12,11.87,11.31,9.89,11.2,10.63,9.86,9.53,8.64,8.9,8.39,8.83,10.56
Świętokrzyskie,4.24,4.93,10.61,x,3.65,5.42,4.8,7.37,x,x,3.06,3.05,2.64
Warmińsko-Mazurskie,4.04,3.19,x,3.05,3.38,5.09,2.31,3.08,2.71,3.39,3.19,4.08,5.82
Wielkopolskie,6.72,8.67,7.37,8.75,9.93,9.39,8.19,9.55,6.73,6.23,7.62,6.07,8.02
Zachodniopomorskie,5.56,5.89,8.16,6.36,7.41,11.17,6.41,5.89,3.92,3.05,2.2,2.75,4.54
