year,Polska,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie
2010,58.79,62.46,56.29,56.97,64.36,56.24,57.04,64.39,65.08,51.84,54.84,66.84,59.05,44.09,54.30,57.86,59.37
2011,61.95,62.86,58.45,58.63,67.45,62.85,63.00,65.73,71.00,56.76,60.70,68.15,62.40,45.15,58.73,60.70,62.17
2012,62.31,60.05,60.52,56.84,59.94,61.56,64.70,67.92,62.13,56.15,62.08,65.09,65.81,49.54,61.23,59.07,66.11
2013,62.85,61.90,63.67,55.21,54.00,57.95,62.58,69.37,58.36,61.40,58.95,70.87,63.04,59.18,61.12,63.34,63.49
2014,66.60,70.30,66.40,62.40,61.70,62.70,66.00,71.10,68.50,62.90,69.50,72.30,65.70,61.80,65.20,65.60,65.50
2015,68.00,71.22,57.63,64.60,72.93,63.94,64.81,73.41,69.05,65.57,74.70,72.84,67.24,61.41,66.88,64.74,75.97
2016,73.30,72.80,70.60,69.70,73.30,70.60,73.60,76.90,75.50,72.40,72.30,76.50,75.10,65.90,69.70,71.10,79.30
2017,76.00,76.10,75.50,69.50,73.40,75.10,72.60,78.70,80.10,74.80,77.20,79.80,77.60,73.40,77.50,73.10,83.30
2018,77.50,73.50,78.20,70.30,78.40,78.20,76.40,79.90,76.60,76.70,78.10,83.00,78.00,73.30,77.00,78.50,77.60
2019,80.40,81.80,82.20,72.80,83.60,79.40,77.30,81.70,81.90,78.40,79.60,86.20,83.60,82.70,77.90,78.30,78.10
2020,83.20,86.40,85.30,77.70,76.90,81.10,80.80,86.80,81.60,79.30,80.00,86.10,86.20,79.10,83.10,79.80,87.60
2021,85.40,89.70,87.50,81.60,78.50,81.90,82.50,91.10,79.40,81.00,81.00,89.80,86.60,77.70,84.20,86.10,87.90
2022,86.90,89.20,89.60,82.70,84.70,88.00,86.90,88.70,79.00,81.50,80.90,92.30,88.90,82.00,85.20,88.20,87.20
2023,86.41,89.25,84.11,84.01,82.15,85.68,88.38,89.14,87.53,85.08,83.15,89.13,89.23,77.40,82.61,88.38,79.88
