year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2012,41.1,43.2,41.8,26.7,32.5,40.3,36.8,53.1,36.4,32.2,31.7,41.3,46.3,27.2,26.6,42.0,39.2
2013,48.4,48.5,50.2,41.3,44.3,44.3,43.0,59.5,46.0,38.8,43.9,46.7,54.5,33.2,39.0,48.7,45.6
2014,64.4,65.5,60.4,56.3,62.8,60.1,60.6,76.9,60.6,55.4,55.3,67.2,65.3,55.2,65.9,64.5,57.4
2015,61.6,60.6,55.2,54.1,57.9,58.1,58.1,75.2,57.4,51.0,50.8,60.7,64.5,53.1,55.6,62.8,58.8
2016,65.3,65.9,61.4,62.2,62.7,60.2,67.8,75.3,66.0,54.3,63.5,64.7,68.2,59.6,54.9,61.7,62.0
2017,69.6,71.7,70.3,64.1,64.5,66.8,64.6,75.7,64.5,63.6,65.6,70.4,74.5,66.6,67.9,66.6,70.3
2018,67.7,71.2,68.2,61.6,67.4,61.7,67.9,74.5,64.9,61.7,62.7,67.7,69.2,59.8,63.5,66.3,66.8
2019,76.2,82.0,76.9,69.9,79.7,74.1,75.2,80.9,72.8,71.7,71.3,75.7,78.2,68.0,69.7,74.5,75.7
2020,78.3,80.1,81.1,69.1,77.9,78.9,77.2,81.3,76.6,73.6,80.5,81.8,80.2,72.7,74.2,76.5,75.3
2021,78.6,77.5,82.9,73.1,80.6,77.7,78.4,82.9,76.6,74.4,75.0,81.6,79.7,68.8,76.7,76.3,77.7
2022,91.9,91.1,89.7,90.8,92.4,97.0,93.7,93.6,91.9,89.8,92.9,91.1,90.3,86.5,89.1,91.5,91.5
2023,,,,,,,,,,,,,,,,,
2024,93.1,92.9,93.4,91.5,85.6,92.7,93.8,95.1,94.6,92.6,89.7,94.7,93.9,88.6,90.3,92.2,92.2
