goal,priorytet,indicators
1,"Wspieranie rodzin z dziećmi i opieka nad dziećmi","1.A.1, 1.A.2, 1.A.3, 1.A.4, 1.A.5"
1,"Dostęp do usług dla osób starszych i opieka nad osobami starszymi i z niepełnosprawnościami","1.B.1,1.B.2,1.B.3,1.B.4,1.B.5,1.B.6,1.B.7,1.B.8"
1,"Dostęp do usług internetowych oraz zwiększanie kompetencji cyfrowych","1.C.1,1.C.2,1.C.3"
1,"Włączenie społeczne i przeciwdziałanie ubóstwu","1.D.1,1.D.2,1.D.3,1.D.4,1.D.5"
1,"Rozwój ekonomii społecznej i solidarnej","1.E.1,1.E.2,1.E.3"
1,"Integracja i wspieranie osób z niepełnosprawnościami","1.F.1,1.F.2,1.F.3"
1,"Zapewnienie warunków mieszkaniowych grupom najbardziej wrażliwym i potrzebującym społecznie","1.G.1,1.G.2,1.G.3,1.G.4,1.G.5,1.G.6,1.G.7,1.G.8"
2,"Zwiększenie konkurencyjności gospodarstw rolnych i producentów rolno-spożywczych","2.A.1,2.A.2,2.A.3"
2,"Zapewnienie jakości i bezpieczeństwa żywności oraz bezpieczeństwa żywnościowego","2.B.1,2.B.2,2.B.3,2.B.4,2.B.5,2.B.6,2.B.7"
2,"Promocja produktów wysokiej jakości ","2.C.1,2.C.2"
2,"Podnoszenie świadomości ekologicznej odnoszącej się do zdrowego życia","2.D.1,2.D.2"
2,"Badania i rozwój w dziedzinie produkcji żywności i rolnictwa","2.E.1,2.E.2"
3,"Zwiększenie dostępności do usług publicznych z zakresu ochrony zdrowia","3.A.1,3.A.2,3.A.3,3.A.4,3.A.5,3.A.6,3.A.7"
3,"Poprawa jakości i dostępności infrastruktury opieki zdrowotnej","3.B.1,3.B.2,3.B.3,3.B.4"
3,"Zwiększenie dostępności do leczenia specjalistycznego oraz terapeutycznego, ze szczególnym uwzględnieniem chorób cywilizacyjnych","3.C.1,3.C.2,3.C.3,3.C.4,3.C.5,3.C.6,3.C.7"
3,"Wysoki poziom kształcenia i szkolenia zawodowego kadry medycznej oraz jej dostępność dla pacjentów","3.D.1,3.D.2,3.D.3,3.D.4,3.D.5"
3,"Rozwój profilaktyki zdrowotnej i rehabilitacji oraz promocja zdrowia","3.E.1,3.E.2,3.E.3,3.E.4,3.E.5,3.E.6,3.E.7,3.E.8,3.E.9,3.E.10,3.E.11,3.E.12,3.E.13,3.E.14,3.E.15,3.E.16,3.E.17"
3,"Zdrowe otoczenie człowieka","3.F.1,3.F.2,3.F.3,3.F.4,3.F.5"
3,"Wspieranie bezpieczeństwa zdrowotnego mieszkańców","3.G.1,3.G.2"
4,"Wysokiej jakości wykształcenie zawodowe i ustawiczne, dostosowane do potrzeb rynku pracy","4.A.1,4.A.2,4.A.3,4.A.4"
4,"Dostęp do wysokiej jakości edukacji uczniów uzdolnionych ze szczególnymi potrzebami","4.B.1,4.B.2,4.B.3"
4,"Infrastruktura dla edukacji","4.C.1,4.C.2,4.C.3"
4,"Tworzenie warunków dla poprawy dostępności i efektywności kształcenia oraz wyrównywania szans edukacyjnych. (Wspieranie edukacji na wszystkich poziomach w obszarze przygotowania do obowiązkowych egzaminów kończących szkołę)","4.D.1,4.D.2,4.D.3,4.D.4,4.D.5,4.D.6"
4,"Wzmacnianie kapitału ludzkiego oraz tworzenie warunków do szerszego zaangażowania dorosłych w uczenie się w różnych formach i miejscach oraz do uznawania efektów uczenia się nabytych poza edukacją formalną","4.E.1,4.E.2,4.E.3"
4,"Działania edukacyjne ukierunkowane na wzmocnienie pozycji absolwentów i osób poszukujących pracy","4.F.1,4.F.2"
4,"Nabywanie kluczowych umiejętności na wszystkich etapach edukacji","4.G.1,4.G.2,4.G.3,4.G.4,4.G.5"
5,"Działania wspierające równość płci w rodzinach","5.A.1,5.A.2,5.A.3,5.A.4,5.A.5,5.A.6,5.A.7,5.A.8,5.A.9"
6,"Działania zmierzające do uzyskania wysokiej jakości wody, dyspozycyjności jej zasobów oraz jej ochrony","6.A.1,6.A.2"
6,"Ekologiczna gospodarka wodą","6.B.1,6.B.2,6.B.3,6.B.4,6.B.5"
6,"Racjonalne wykorzystanie zasobów wodnych","6.C.1,6.C.2,6.C.3,6.C.4,6.C.5,6.C.6"
6,"Rozwój infrastruktury wodno-ściekowej","6.D.1,6.D.2,6.D.3,6.D.4,6.D.5,6.D.6,6.D.6,6.D.7,6.D.8,6.D.9,6.D.10"
6,"Zapewnienie stabilnych warunków prawnych do realizacji inwestycji oraz umożliwienie pozyskiwania środków na ich realizację","6.E.1,6.E.2,6.E.3,6.E.4,6.E.5"
7,"Ograniczenie oddziaływania energetyki na środowisko oraz zwiększanie efektywności","7.A.1,7.A.2"
7,"Zapewnienie bezpieczeństwa energetycznego regionu","7.B.1,7.B.2,7.B.3,7.B.4"
7,"Modernizacja i rozbudowy infrastruktury energetycznej","7.C.1,7.C.2"
8,"Efektywne wykorzystanie gospodarczego potencjału regionu w oparciu o innowacje i odpowiedzialny wzrost gospodarczy","8.A.1,8.A.2,8.A.3,8.A.4,8.A.5"
8,"Rozwój przedsiębiorczości w regionach","8.B.1,8.B.2,8.B.3"
8,"Podnoszenie jakości kapitału ludzkiego dla nowoczesnej gospodarki, zwiększanie wskaźnika zatrudnienia, w tym promowanie stabilnych form zatrudnienia","8.C.1,8.C.2,8.C.3"
8,"Aktywizacja zawodowa, z uwzględnieniem grup szczególnie wrażliwych społecznie i kształtowanie przyjaznego środowiska pracy","8.D.1,8.D.2,8.D.3,8.D.4,8.D.5,8.D.6,8.D.7,8.D.8,8.D.9"
